supermarket_id;supplier_id;delivery_date;amount;name;opening_date;supplier_name;supplier_type;department_id;department_info
238;851;2032-06-09;1387,85;Atlantico Market;2023-01-21;Lacteos do Vale;dairy;;peixaria
201;454;2027-12-21;3872,7;SuperNorte;2024-04-10;Congelados Norte;frozen goods;;congelados
222;798;2023-05-07;4364,11;BomPreco;2021-07-06;Peixe Fresco Iberico;seafood;;peixaria
357;926;2022-03-19;1776,74;SuperNorte;2021-05-17;Padaria Industrial;bakery supplies;;mercearia
376;344;2029-06-12;3429,8;Atlantico Market;2025-07-22;Congelados Norte;frozen goods;;congelados
77;482;2031-02-14;3111,01;Nova Compra;2023-01-26;Frutaria Atlantica;produce;;laticinios
265;16;2027-10-09;1800,0;FreshMart Gaia;2022-10-08;Padaria Industrial;bakery supplies;72,0;laticinios
265;16;2026-09-25;1204,48;FreshMart Gaia;2022-10-08;Padaria Industrial;bakery supplies;114,0;bebidas
55;986;2033-12-29;1140,97;FreshMart Gaia;2025-06-03;Padaria Industrial;bakery supplies;;laticinios
12;975;2025-09-04;1399,12;BomPreco;2024-07-15;Higiene Plus;cleaning products;;talho
107;357;2028-04-06;4681,89;Nova Compra;2025-07-14;Carnes Selectas;meat;141,0;bebidas
107;357;2030-12-17;4435,21;Nova Compra;2025-07-14;Carnes Selectas;meat;158,0;congelados
393;247;2031-08-06;5053,4;SuperNorte;2025-10-05;Carnes Selectas;meat;;congelados
454;50;2025-01-12;3500,0;Atlantico Market;2022-02-05;Casa Verde Horticolas;produce;;mercearia
45;566;2025-06-05;625,73;SuperNorte;2021-03-03;Padaria Industrial;bakery supplies;145,0;talho
17;39;2025-10-02;1809,14;Nova Compra;2021-06-10;SnackHouse Distribuicao;snacks;;bebidas
2;190;2025-04-04;2547,91;Mercado Central;2022-09-10;Casa Verde Horticolas;produce;167,0;congelados
234;912;2027-10-19;1627,78;BomPreco;2022-02-27;Frutaria Atlantica;produce;;higiene
350;518;2033-02-06;7838,44;Mercado Central;2025-07-14;Peixe Fresco Iberico;seafood;;fruta e legumes
53;55;2023-09-12;698,64;Nova Compra;2022-04-27;Higiene Plus;cleaning products;;bebidas
2;843;2024-03-02;6807,5;Mercado Central;2022-09-10;Bebidas Lusas;beverages;167,0;congelados
265;752;2025-07-12;3077,76;FreshMart Gaia;2022-10-08;Frutaria Atlantica;produce;72,0;laticinios
265;752;2024-12-07;1769,85;FreshMart Gaia;2022-10-08;Frutaria Atlantica;produce;114,0;bebidas
34;659;2025-04-14;1110,54;Atlantico Market;2021-09-25;SnackHouse Distribuicao;snacks;;bebidas
79;296;2029-07-05;1428,76;FreshMart Gaia;2023-10-18;Padaria Industrial;bakery supplies;2,0;peixaria
79;296;2028-10-31;596,51;FreshMart Gaia;2023-10-18;Padaria Industrial;bakery supplies;67,0;padaria
82;637;2023-05-19;3436,03;Atlantico Market;2023-01-31;Carnes Selectas;meat;54,0;laticinios
392;866;2032-11-07;976,16;Mercado Central;2023-08-21;Padaria Industrial;bakery supplies;;talho
71;933;2025-03-02;7000,0;Nova Compra;2024-03-23;Bebidas Lusas;beverages;136,0;talho
113;67;2023-05-17;7204,18;Nova Compra;2021-11-05;Carnes Selectas;meat;188,0;fruta e legumes
432;994;2026-03-06;3213,84;BomPreco;2025-09-23;Congelados Norte;frozen goods;;mercearia
99;306;2032-12-04;469,1;SuperNorte;2025-09-02;Padaria Industrial;bakery supplies;;fruta e legumes
225;652;2032-08-03;1884,89;SuperNorte;2025-06-18;Frutaria Atlantica;produce;97,0;higiene
322;109;2032-05-27;1847,65;Atlantico Market;2026-01-04;SnackHouse Distribuicao;snacks;34,0;higiene
285;436;2027-05-19;967,78;SuperNorte;2023-05-21;Padaria Industrial;bakery supplies;;mercearia
216;426;2032-08-18;1800,0;BomPreco;2025-09-23;Padaria Industrial;bakery supplies;;congelados
438;969;2028-10-20;1554,9;BomPreco;2022-04-17;SnackHouse Distribuicao;snacks;116,0;fruta e legumes
196;428;2028-11-30;2327,62;Atlantico Market;2025-12-17;Peixe Fresco Iberico;seafood;4,0;padaria
196;428;2030-01-21;5411,84;Atlantico Market;2025-12-17;Peixe Fresco Iberico;seafood;159,0;bebidas
207;166;2024-06-25;1227,02;SuperNorte;2022-08-16;Padaria Industrial;bakery supplies;;higiene
315;366;2028-08-11;1190,18;SuperNorte;2025-10-02;Padaria Industrial;bakery supplies;;congelados
263;634;2030-09-09;3971,36;Nova Compra;2022-05-13;Congelados Norte;frozen goods;47,0;peixaria
192;934;2031-12-24;3686,28;BomPreco;2023-05-20;Congelados Norte;frozen goods;80,0;fruta e legumes
302;193;2024-06-29;1524,89;Mercado Central;2023-08-01;Bebidas Lusas;beverages;;fruta e legumes
403;329;2025-12-06;1714,93;FreshMart Gaia;2021-04-09;SnackHouse Distribuicao;snacks;;mercearia
1;313;2027-06-04;3219,98;FreshMart Gaia;2023-11-13;Bebidas Lusas;beverages;;bebidas
412;635;2033-01-08;1538,21;Atlantico Market;2024-08-06;Higiene Plus;cleaning products;36,0;laticinios
469;771;2028-02-03;2681,96;FreshMart Gaia;2023-05-24;Lacteos do Vale;dairy;126,0;laticinios
187;447;2032-07-25;9439,28;FreshMart Gaia;2023-07-04;Carnes Selectas;meat;;talho
284;637;2024-06-29;3512,73;Mercado Central;2023-04-30;Carnes Selectas;meat;153,0;laticinios
30;55;2029-09-20;768,1;BomPreco;2025-01-06;Higiene Plus;cleaning products;29,0;peixaria
30;55;2026-10-25;1062,02;BomPreco;2025-01-06;Higiene Plus;cleaning products;199,0;talho
40;952;2028-11-03;1328,66;Atlantico Market;2022-08-09;Frutaria Atlantica;produce;111,0;mercearia
73;3;2033-12-31;2586,54;FreshMart Gaia;2025-01-05;Bebidas Lusas;beverages;61,0;higiene
235;127;2025-05-22;10000,0;FreshMart Gaia;2022-03-04;Carnes Selectas;meat;;padaria
52;559;2026-02-22;1763,96;Atlantico Market;2025-01-08;SnackHouse Distribuicao;snacks;;mercearia
50;828;2030-07-11;12000,0;Mercado Central;2025-02-27;Peixe Fresco Iberico;seafood;;fruta e legumes
390;155;2023-06-03;1373,1;BomPreco;2021-05-05;Higiene Plus;cleaning products;;padaria
490;659;2028-11-01;973,78;Atlantico Market;2023-10-13;SnackHouse Distribuicao;snacks;;fruta e legumes
403;258;2022-02-04;4518,24;FreshMart Gaia;2021-04-09;Peixe Fresco Iberico;seafood;;mercearia
416;323;2024-04-03;5946,25;Mercado Central;2021-10-24;Bebidas Lusas;beverages;;higiene
441;744;2027-01-17;2581,53;SuperNorte;2021-08-16;Congelados Norte;frozen goods;179,0;fruta e legumes
205;246;2029-05-13;1285,37;FreshMart Gaia;2026-01-02;Padaria Industrial;bakery supplies;;padaria
95;410;2022-11-21;1575,62;Nova Compra;2021-11-19;Casa Verde Horticolas;produce;;higiene
470;468;2024-08-23;4277,55;Mercado Central;2022-09-27;Peixe Fresco Iberico;seafood;84,0;mercearia
101;240;2031-02-24;3452,57;Nova Compra;2023-02-01;Casa Verde Horticolas;produce;;padaria
244;893;2032-06-02;2877,44;Atlantico Market;2023-01-21;Bebidas Lusas;beverages;133,0;higiene
244;893;2026-04-03;2584,03;Atlantico Market;2023-01-21;Bebidas Lusas;beverages;168,0;bebidas
34;680;2028-04-01;1785,47;Atlantico Market;2021-09-25;Casa Verde Horticolas;produce;;laticinios
118;488;2025-03-01;5171,15;Atlantico Market;2022-07-18;Peixe Fresco Iberico;seafood;;padaria
328;453;2025-10-25;7000,0;Atlantico Market;2024-05-28;Bebidas Lusas;beverages;;mercearia
28;853;2023-04-01;6043,1;Atlantico Market;2023-02-26;Bebidas Lusas;beverages;;congelados
286;861;2026-07-08;1648,15;Atlantico Market;2026-01-18;Lacteos do Vale;dairy;;congelados
252;101;2024-05-17;1735,97;BomPreco;2022-11-20;Lacteos do Vale;dairy;;padaria
370;357;2028-02-09;2176,35;Atlantico Market;2023-01-22;Carnes Selectas;meat;7,0;higiene
351;258;2022-11-18;6914,59;SuperNorte;2021-03-14;Peixe Fresco Iberico;seafood;;mercearia
118;300;2024-01-26;1321,82;Atlantico Market;2022-07-18;Casa Verde Horticolas;produce;;mercearia
336;425;2025-06-15;1430,55;BomPreco;2021-05-18;Higiene Plus;cleaning products;10,0;talho
280;581;2025-09-04;887,49;Atlantico Market;2025-05-05;Lacteos do Vale;dairy;115,0;higiene
476;84;2026-06-24;4248,54;Mercado Central;2023-03-11;Congelados Norte;frozen goods;;higiene
376;723;2026-01-16;7000,0;Atlantico Market;2025-07-22;Bebidas Lusas;beverages;;talho
217;255;2026-02-04;1408,91;FreshMart Gaia;2021-10-15;Higiene Plus;cleaning products;171,0;laticinios
136;894;2023-09-12;3034,38;Atlantico Market;2021-09-27;Congelados Norte;frozen goods;;fruta e legumes
481;292;2028-02-20;1833,04;FreshMart Gaia;2023-11-19;Frutaria Atlantica;produce;166,0;padaria
293;816;2028-07-01;971,5;Nova Compra;2024-07-22;Padaria Industrial;bakery supplies;;congelados
28;902;2028-02-27;3500,0;Atlantico Market;2023-02-26;Frutaria Atlantica;produce;;mercearia
338;742;2023-10-29;1592,66;Mercado Central;2023-02-16;Frutaria Atlantica;produce;;mercearia
322;73;2028-12-21;2182,07;Atlantico Market;2026-01-04;Bebidas Lusas;beverages;34,0;higiene
485;644;2029-11-18;4341,72;Nova Compra;2023-06-26;Congelados Norte;frozen goods;;padaria
236;908;2027-03-20;7097,85;Mercado Central;2024-07-03;Peixe Fresco Iberico;seafood;;laticinios
378;849;2021-09-17;2125,08;BomPreco;2021-04-27;SnackHouse Distribuicao;snacks;137,0;peixaria
247;475;2025-07-26;1931,98;FreshMart Gaia;2021-04-17;Higiene Plus;cleaning products;173,0;peixaria
10;488;2030-03-21;12000,0;Atlantico Market;2024-07-05;Peixe Fresco Iberico;seafood;;fruta e legumes
473;261;2025-03-10;1644,47;Nova Compra;2021-08-09;Lacteos do Vale;dairy;69,0;bebidas
322;912;2035-05-02;1358,31;Atlantico Market;2026-01-04;Frutaria Atlantica;produce;34,0;higiene
178;192;2030-05-14;803,18;Atlantico Market;2023-12-25;Frutaria Atlantica;produce;;padaria
409;570;2031-03-01;2491,61;FreshMart Gaia;2025-03-31;Casa Verde Horticolas;produce;;congelados
463;969;2028-01-24;1106,81;FreshMart Gaia;2025-03-11;SnackHouse Distribuicao;snacks;108,0;laticinios
215;435;2030-11-23;2053,91;Nova Compra;2022-05-12;Higiene Plus;cleaning products;;congelados
315;308;2035-01-27;5209,93;SuperNorte;2025-10-02;Peixe Fresco Iberico;seafood;;mercearia
196;174;2031-11-29;8000,0;Atlantico Market;2025-12-17;Congelados Norte;frozen goods;4,0;padaria
196;174;2026-05-17;2255,87;Atlantico Market;2025-12-17;Congelados Norte;frozen goods;159,0;bebidas
207;589;2026-01-18;2614,55;SuperNorte;2022-08-16;SnackHouse Distribuicao;snacks;;bebidas
95;923;2022-08-25;5632,11;Nova Compra;2021-11-19;Bebidas Lusas;beverages;;padaria
157;988;2025-06-16;8238,03;FreshMart Gaia;2024-10-04;Peixe Fresco Iberico;seafood;;congelados
281;840;2024-09-15;1118,98;Nova Compra;2024-07-19;Casa Verde Horticolas;produce;;peixaria
469;40;2025-01-30;2349,5;FreshMart Gaia;2023-05-24;Casa Verde Horticolas;produce;126,0;laticinios
167;478;2028-06-02;6881,91;Nova Compra;2024-08-25;Peixe Fresco Iberico;seafood;;talho
423;303;2031-03-03;1645,66;SuperNorte;2022-05-09;Bebidas Lusas;beverages;14,0;congelados
423;303;2031-04-24;7000,0;SuperNorte;2022-05-09;Bebidas Lusas;beverages;55,0;talho
458;700;2024-06-08;1583,54;Mercado Central;2024-04-06;Casa Verde Horticolas;produce;169,0;higiene
58;32;2027-04-28;3500,0;Atlantico Market;2023-08-09;Frutaria Atlantica;produce;;peixaria
407;105;2033-05-18;1333,77;Nova Compra;2024-05-16;Higiene Plus;cleaning products;;bebidas
463;47;2028-03-19;8401,8;FreshMart Gaia;2025-03-11;Carnes Selectas;meat;108,0;laticinios
376;299;2029-11-12;1120,74;Atlantico Market;2025-07-22;SnackHouse Distribuicao;snacks;;mercearia
309;877;2025-02-22;5947,05;SuperNorte;2024-03-19;Carnes Selectas;meat;;padaria
355;132;2031-10-01;1973,8;FreshMart Gaia;2025-09-12;Frutaria Atlantica;produce;60,0;bebidas
71;593;2033-09-19;3241,82;Nova Compra;2024-03-23;Bebidas Lusas;beverages;136,0;talho
247;294;2030-04-23;2908,0;FreshMart Gaia;2021-04-17;Congelados Norte;frozen goods;173,0;peixaria
290;176;2024-07-02;251,56;Mercado Central;2022-12-23;Padaria Industrial;bakery supplies;;higiene
210;488;2032-03-24;4442,47;BomPreco;2023-03-24;Peixe Fresco Iberico;seafood;;bebidas
37;886;2029-02-20;1370,57;FreshMart Gaia;2022-12-13;Padaria Industrial;bakery supplies;15,0;bebidas
486;356;2031-03-05;533,74;BomPreco;2022-02-26;Padaria Industrial;bakery supplies;;higiene
417;409;2026-01-12;966,68;SuperNorte;2023-07-19;SnackHouse Distribuicao;snacks;;mercearia
234;12;2023-03-21;969,96;BomPreco;2022-02-27;Frutaria Atlantica;produce;;higiene
443;583;2034-02-07;4119,6;Nova Compra;2025-05-20;Bebidas Lusas;beverages;;padaria
27;625;2025-02-17;919,82;SuperNorte;2022-08-07;Higiene Plus;cleaning products;42,0;bebidas
60;540;2025-07-20;3203,81;BomPreco;2021-08-03;Casa Verde Horticolas;produce;;mercearia
435;426;2027-05-17;1391,77;SuperNorte;2024-08-06;Padaria Industrial;bakery supplies;;congelados
466;554;2026-06-01;4705,21;Atlantico Market;2022-02-26;Congelados Norte;frozen goods;99,0;laticinios
439;958;2027-10-03;7452,72;FreshMart Gaia;2026-01-08;Peixe Fresco Iberico;seafood;;mercearia
416;124;2022-06-29;3050,45;Mercado Central;2021-10-24;Congelados Norte;frozen goods;;laticinios
33;362;2026-09-25;1312,55;SuperNorte;2024-06-15;Frutaria Atlantica;produce;;congelados
36;750;2024-04-19;2547,59;BomPreco;2021-03-31;Casa Verde Horticolas;produce;;peixaria
459;172;2029-03-30;2790,48;SuperNorte;2023-06-20;Frutaria Atlantica;produce;;talho
297;385;2024-12-20;1886,03;SuperNorte;2022-11-01;Higiene Plus;cleaning products;;congelados
491;261;2025-12-23;1739,69;Nova Compra;2024-07-19;Lacteos do Vale;dairy;;fruta e legumes
427;71;2025-07-02;1802,86;FreshMart Gaia;2023-12-18;Lacteos do Vale;dairy;;fruta e legumes
439;970;2026-06-29;1216,4;FreshMart Gaia;2026-01-08;Casa Verde Horticolas;produce;;laticinios
363;974;2035-04-03;6075,89;SuperNorte;2025-10-30;Congelados Norte;frozen goods;;padaria
211;613;2024-05-28;1551,31;FreshMart Gaia;2024-02-14;Bebidas Lusas;beverages;103,0;padaria
199;427;2023-12-05;2002,69;FreshMart Gaia;2022-06-22;Carnes Selectas;meat;;padaria
127;305;2025-07-02;557,81;FreshMart Gaia;2022-10-25;Higiene Plus;cleaning products;;bebidas
84;670;2023-05-23;705,38;BomPreco;2022-05-29;Casa Verde Horticolas;produce;;peixaria
109;109;2025-01-04;3000,0;FreshMart Gaia;2021-02-19;SnackHouse Distribuicao;snacks;;mercearia
423;150;2022-07-08;2635,96;SuperNorte;2022-05-09;Casa Verde Horticolas;produce;14,0;congelados
423;150;2022-07-08;1078,77;SuperNorte;2022-05-09;Casa Verde Horticolas;produce;55,0;talho
189;893;2024-09-26;3575,43;SuperNorte;2024-04-27;Bebidas Lusas;beverages;;padaria
259;385;2029-08-26;2500,0;FreshMart Gaia;2025-05-28;Higiene Plus;cleaning products;39,0;mercearia
259;385;2028-08-08;1722,1;FreshMart Gaia;2025-05-28;Higiene Plus;cleaning products;96,0;bebidas
464;556;2027-12-15;1800,0;Mercado Central;2022-08-25;Padaria Industrial;bakery supplies;;higiene
172;117;2029-05-08;5129,35;Atlantico Market;2025-06-28;Carnes Selectas;meat;;padaria
456;538;2029-05-24;4840,32;BomPreco;2025-06-07;Peixe Fresco Iberico;seafood;;congelados
363;721;2035-09-13;1321,77;SuperNorte;2025-10-30;Lacteos do Vale;dairy;;congelados
6;678;2033-05-28;6569,53;BomPreco;2026-02-05;Peixe Fresco Iberico;seafood;;talho
17;823;2023-05-04;5714,37;Nova Compra;2021-06-10;Bebidas Lusas;beverages;;congelados
409;29;2030-08-21;1725,27;FreshMart Gaia;2025-03-31;SnackHouse Distribuicao;snacks;;peixaria
267;722;2028-02-17;1574,59;SuperNorte;2025-12-26;Frutaria Atlantica;produce;;padaria
384;628;2033-08-18;11441,38;BomPreco;2024-10-07;Peixe Fresco Iberico;seafood;;bebidas
116;144;2029-06-26;5455,46;Mercado Central;2022-10-19;Congelados Norte;frozen goods;;higiene
282;398;2025-10-19;6176,52;BomPreco;2022-10-01;Peixe Fresco Iberico;seafood;31,0;padaria
282;398;2025-10-19;4603,59;BomPreco;2022-10-01;Peixe Fresco Iberico;seafood;142,0;higiene
105;201;2023-04-18;1917,4;SuperNorte;2022-01-11;Lacteos do Vale;dairy;;fruta e legumes
62;723;2025-04-08;4638,97;Mercado Central;2023-12-03;Bebidas Lusas;beverages;186,0;bebidas
208;635;2025-10-04;967,83;Atlantico Market;2024-12-15;Higiene Plus;cleaning products;176,0;congelados
481;449;2029-07-21;947,08;FreshMart Gaia;2023-11-19;SnackHouse Distribuicao;snacks;166,0;padaria
486;191;2022-09-02;1732,21;BomPreco;2022-02-26;Lacteos do Vale;dairy;;fruta e legumes
66;850;2024-03-06;1809,48;BomPreco;2022-09-19;Casa Verde Horticolas;produce;;peixaria
309;621;2033-02-02;3970,72;SuperNorte;2024-03-19;Lacteos do Vale;dairy;;laticinios
465;918;2025-04-16;3856,6;SuperNorte;2024-12-20;Peixe Fresco Iberico;seafood;;peixaria
88;1;2024-02-23;2380,96;Atlantico Market;2021-03-26;Lacteos do Vale;dairy;62,0;fruta e legumes
427;635;2030-11-28;1213,55;FreshMart Gaia;2023-12-18;Higiene Plus;cleaning products;;peixaria
12;776;2025-10-17;902,51;BomPreco;2024-07-15;Padaria Industrial;bakery supplies;;padaria
395;698;2027-05-06;12000,0;Nova Compra;2023-10-24;Peixe Fresco Iberico;seafood;;talho
65;710;2028-10-31;1918,86;Nova Compra;2024-07-21;Casa Verde Horticolas;produce;;peixaria
107;115;2029-12-24;911,52;Nova Compra;2025-07-14;Higiene Plus;cleaning products;141,0;bebidas
107;115;2034-07-03;2051,13;Nova Compra;2025-07-14;Higiene Plus;cleaning products;158,0;congelados
118;613;2023-10-15;5411,98;Atlantico Market;2022-07-18;Bebidas Lusas;beverages;;talho
61;393;2025-04-16;2389,85;FreshMart Gaia;2021-12-07;Bebidas Lusas;beverages;;higiene
65;876;2029-01-01;584,6;Nova Compra;2024-07-21;Padaria Industrial;bakery supplies;;peixaria
378;351;2024-12-11;2586,23;BomPreco;2021-04-27;Lacteos do Vale;dairy;137,0;peixaria
29;503;2025-11-16;3694,78;Nova Compra;2025-01-17;Bebidas Lusas;beverages;;fruta e legumes
328;803;2033-05-11;3034,34;Atlantico Market;2024-05-28;Bebidas Lusas;beverages;;higiene
143;45;2034-08-08;2211,76;Nova Compra;2025-12-20;Higiene Plus;cleaning products;128,0;peixaria
493;951;2034-08-07;1646,98;FreshMart Gaia;2025-06-26;Lacteos do Vale;dairy;;peixaria
264;659;2033-05-31;1994,67;BomPreco;2024-03-30;SnackHouse Distribuicao;snacks;;fruta e legumes
288;706;2032-06-05;1696,54;BomPreco;2025-10-31;Padaria Industrial;bakery supplies;;peixaria
207;14;2030-09-28;3691,4;SuperNorte;2022-08-16;Congelados Norte;frozen goods;;congelados
32;704;2033-04-08;1888,0;Mercado Central;2023-07-31;Congelados Norte;frozen goods;;higiene
248;11;2028-02-17;1793,35;Mercado Central;2025-02-23;Lacteos do Vale;dairy;8,0;fruta e legumes
307;67;2025-04-27;5880,12;FreshMart Gaia;2022-08-19;Carnes Selectas;meat;197,0;fruta e legumes
182;550;2031-01-01;2905,3;Mercado Central;2021-08-07;Casa Verde Horticolas;produce;85,0;padaria
169;332;2025-11-15;1463,25;FreshMart Gaia;2025-07-10;Frutaria Atlantica;produce;;mercearia
204;652;2021-05-07;3500,0;BomPreco;2021-04-02;Frutaria Atlantica;produce;;peixaria
78;798;2023-02-02;3623,11;BomPreco;2022-12-29;Peixe Fresco Iberico;seafood;46,0;talho
187;483;2025-06-07;4037,48;FreshMart Gaia;2023-07-04;Bebidas Lusas;beverages;;laticinios
394;103;2023-10-05;3367,37;Atlantico Market;2023-07-15;Bebidas Lusas;beverages;;mercearia
171;723;2034-08-07;6875,38;SuperNorte;2025-12-02;Bebidas Lusas;beverages;13,0;padaria
432;821;2026-03-12;1107,75;BomPreco;2025-09-23;Lacteos do Vale;dairy;;bebidas
220;263;2026-04-16;4541,65;Atlantico Market;2024-11-09;Bebidas Lusas;beverages;;bebidas
333;407;2025-09-22;4837,97;SuperNorte;2021-06-28;Carnes Selectas;meat;;fruta e legumes
93;510;2023-12-27;3500,0;SuperNorte;2023-02-02;Casa Verde Horticolas;produce;102,0;mercearia
308;808;2027-05-13;4476,99;Mercado Central;2022-07-13;Peixe Fresco Iberico;seafood;;congelados
